Gen 1:1  Na_początku stworzył Bóg ** niebo i_** ziemię.
Exo 35:24  Każdy_ofiarujący dar_ofiarny (ze)_srebra albo_miedzi, przynosił to (w)_darze_ofiarnym JHWH, i_każdy kto posiadał u_sobie drzewo akacjowe na_wszelkie_dzieła służby przynosił.
Exo 35:25  I_wszystkie_kobiety mądrego_serca *_rękami_swoimi przędły, i_przynosiły przędzę, **_fioletową i_czerwoną_purpurę **_barwiony karmazyn i_**_bisior.
Exo 35:26  I_wszystkie_kobiety, które_(do_tego) skłoniło serce_ich one w_mądrości przędły**_(wełnę)_kozią.
Exo 35:27  A_książęta przynosili ** kamienie onyksu i_** kamienie drogie_do_oprawy do_efodu i_do_pektorału.
Exo 35:28  I_**_korzenie i_**_oliwę do_oświetlania i_do_oliwy namaszczania, i_do_kadzidła wonnego.
Exo 35:29  Każdy_mężczyzna i_kobieta, którego skłoniło serce_[ich] ich, aby_przynieść na_wszelkie_wykonanie, jakie nakazał JHWH, aby_wykonać *_ręką_Mojżesza, przynosili synowie_Izraela dobrowolnie dla_JHWH.
Exo 35:30  I_powiedział Mojżesz do_synów Izraela: Patrzcie, zawołał JHWH po_imieniu Becalela syna_Uriego, syna_Chura, z_pokolenia Judy.
Exo 35:31  I_napełnił go duchem Bożym, *_mądrością, *_rozumem, i_*_poznaniem i_*_wszelkim_wykonawstwem.
Exo 35:32  I_*_pomysłowość [pomysłów], aby_wykonywać w_złocie, i_w_srebrze, i_w_miedzi.
Exo 35:33  I_w_obróbce kamieni drogich_do_oprawy, i_w_obróbce drzewa, aby_wykonywać *_wszelkie_dzieło zamierzone.
Exo 35:34  I_*_zdolność_nauczania dał w_serce_jego on i_Oholiaba syna_Achisamaka z_pokolenia_Dana.
Exo 35:35  I_napełnił ich mądrością_serca, aby_wykonywali wszelką_pracę rytownika i_artysty, i_hafciarza na_fioletowej i_czerwonej_purpurze, na_farbowanym_karmazynie i_na_bisiorze i_tkaninie wykonywujących wszelkie_dzieło i_obmyślających plany.
Exo 36:1  I_zrobi Becalel i_Oholiab, i_każdy mąż mądrego_serca, któremu dał JHWH mądrość i_rozum,[w_nich] aby_umieli *_wykonać **_każdą_pracę (dla)_służby świątyni, *_wszystko, tak_jak_rozkazał JHWH.
Exo 36:2  I_zawołał Mojżesz do_Becalela i_do_Oholiaba, i_do każdego_męża_mądrego_serca, któremu dał JHWH, mądrość (w)_serce_jego, każdego, którego podniosło_go serce_jego, aby_przystąpił do_pracy, aby_wykonać ją.
Exo 36:3  I_wzięli od_** Mojżesza ** wszystkie_daniny, które przynieśli synowie Izraela do_pracy (dla)_służby (w)_świątyni, aby_wykonać je. A_ci przynosili do_niego jeszcze dobrowolnie (każdego)_** rana.
Exo 36:4  I_przyszli wszyscy_zręczni wykonawcy ** (do)_wszelkiej_pracy (w)_świątyni, **_każdy od_pracy_swojej, którą_oni się_zajmowali.
Exo 36:5  I_powiedzieli do_Mojżesza, mówiąc: Wiele lud przynosi więcej niż_potrzeba do_pracy, którą_rozkazał JHWH aby_wykonać ją.
Exo 36:6  I_rozkazał Mojżesz aby_rozgłosili okrzykiem w_obozie, mówiąc: Ani_mężczyzna ani_kobieta (niech)_nie_robią_więcej pracy na_daninę (do)_świątyni! I_przestał lud przynosić.
Exo 36:7  A_to_zrobionego było wystarczająco na_wszelką_pracę, aby_wykonać ją i_zbywało_jeszcze.
Exo 36:8  A_zrobili wszyscy_mądrego_serca wśród_wykonawców prac, **_przybytek [z]_dziesięciu zasłon (z)_bisioru kręconego, i_(z)_fioletowej (z)_czerwonej_purpury, i_barwionego_karmazynu (w)_cheruby, (jak)_wyrób artystyczny wykonano je.
Exo 36:9  Długość zasłony jednej -osiem i_dwadzieścia *_łokci, a_szerokość - cztery łokcie zasłony jednej miara jedna dla_wszystkich_zasłon.
Exo 36:10  I_spiął **_pięć zasłon jedną z_drugą, a_pięć zasłon spiął jedną z_drugą
Exo 36:11  I_zrobił pętle fioletowe na brzegu zasłony jednej, przy_krańcu *_złączenia, tak zrobił na_brzegu zasłony końcowej przy_złączeniu drugim.
Exo 36:12  Pięćdziesiąt pętel zrobił (u)_zasłony jednej i_pięćdziesiąt pętel zrobił na_krańcu zasłony, która przy_połączeniu drugim, przeciwległe pętle jedna do_drugiej.
Exo 36:13  I_zrobił pięćdziesiąt zapinek (ze)_złota i_spiął **_zasłonę jedna z_drugą zapinkami, i_był przybytek jedną_[całością].
Exo 36:14  I_zrobił zasłony z_(wełny)_koziej na_namiot nad_przybytkiem, jedenaście zasłon zrobił takich.
Exo 36:15  Długość zasłony jednej - trzydzieści łokci, i_cztery łokcie- szerokość zasłony jednej, miara jedna dla_**_jedenastu zasłon.
Exo 36:16  I_wziął **_pięć zasłon osobno, i_**_sześć zasłon osobno.
Exo 36:17  I_zrobił pętel pięćdziesiąt na brzegu zasłony końcowej przy_złączeniu, i_pięćdziesiąt pętel zrobił na_brzegu zasłony złączenia drugiego.
Exo 36:18  I_zrobił zapinek miedzianych pięćdziesiąt, aby_spoić **_namiot, aby_być całością.
Exo 36:19  I_zrobił pokrycie na_namiot (ze)_skór baranich, barwionych_czerwono, a_przykrycie (ze)_skór borsuczych na_wierzch.
Exo 36:20  I_zrobił **_bale do_przybytku (z)_drzewa akacjowego słupy.
Exo 36:21  Dziesięć łokci długość bala, a_łokieć i_pół łokcia - szerokość bala jednego.
Exo 36:22  (Po)_dwa czopy przy_balu jednym, osadzone jeden naprzeciw_drugiego, tak zrobił przy_wszystkich balach przybytku.
Exo 36:23  I_zrobił **_bale do_przybytku: dwadzieścia bali na_stronę południowej, na_prawo.
Exo 36:24  I_czterdzieści podstaw_srebrnych zrobił pod dwadzieścia bali: dwie podstawy pod_bal jeden, do_dwóch czopów_jego, i_dwie podstawy pod_bal drugi_(jeden), do_dwóch czopów_jego.
Exo 36:25  I_na_stronę przybytku drugą, ze_strony północnej, zrobił dwadzieścia bali.
Exo 36:26  I_czterdzieści podstaw_ich srebrnych: dwie podstawy pod bal jeden, i_dwie podstawy pod bal drugi_(jeden).
Exo 36:27  A_na_tylnej_stronie przybytku, zachodniej zrobił sześć bali.
Exo 36:28  A_dwa bale zrobił na_narożniki przybytku na_tylnej_stronie.
Exo 36:29  I_były podwójne od_spodu i_razem były złączone z_wierzchu w_obręczy jednej, tak zrobił z_obydwoma na_obu narożnikach.
Exo 36:30  I_było osiem balia_podstaw_ich srebrnych sześć (i)_dziesięć podstaw. Dwie podstawy, (po)_dwie podstawy pod bal jeden.
Exo 36:31  I_zrobił poprzeczki (z)_drzewa akacjowego: pięć - do_bali (ściany)_przybytku jednej.
Exo 36:32  A_pięć poprzeczek do_bali strony_przybytku drugiej, i_pięć poprzeczek do_bali przybytku strony_tylnej, zachodniej.
Exo 36:33  I_zrobił **_poprzeczkę środkową, aby_przechodziła przez_środek bali, od_końca do_końca.
Exo 36:34  A_**_bale pokrył złotem, a_pierścienie_ich zrobił (ze)_złota, jako_osadzenia dla_poprzeczek, i_pokrył **_poprzeczki złotem.
Exo 36:35  I_zrobił **_zasłonę (z)_fioletowej i_czerwonej_purpury, i_barwionego karmazynu i_bisioru kręconego, (jak)_wyrób artystyczny wykonał ją, (w)_cheruby.
Exo 36:36  I_zrobił do_niej cztery słupy akacjowe, i_obłożył_je złotem, i_haczyki_ich (ze)_złota. I_odlał do_nich cztery podstawy_srebrne.
Exo 36:37  I_zrobił kotarę u_wejścia namiotu (z)_fioletowej i_czerwonej_purpury, i_barwionego karmazynu, i_bisioru kręconego, wyrobu wzorzystego.
Exo 36:38  I_**_słupów_do_niej pięć **_z_haczykami_ich, i_pokrył wierzchy_ich i_klamry_ich złotem, a_podstaw_ich (było)_pięć, miedzianych.
Exo 37:1  I_zrobił Becalel **_arkę (z)_drzewa akacjowego, dwa i_pół długość_jej, a_łokieć i_pół szerokość_jej a_łokieć i_pół wysokość_jej.
Exo 37:2  I_pokrył_ją złotem czystym z_wewnątrz z_zewnątrz, i_zrobił do_niej wieniec złoty wkoło.
Exo 37:3  I_odlał dla_niej cztery pierścienie złote na cztery narożniki_jej, a_dwa pierścienie na_stronę_jej jedną, i_dwa pierścienie na_stronę_jej drugą.
Exo 37:4  I_zrobił drążki (z)_drzewa akacjowego i_pokrył je złotem.
Exo 37:5  I_włożył **_drążki do_pierścieni po bokach arki, do_noszenia **_arki.
Exo 37:6  I_zrobił wieko (ze)_złota czystego: łokcie_dwa i_pół, długość_jego, a_łokieć i_pół szerokość_jego.
Exo 37:7  I_zrobił dwa cheruby złote, kutej_roboty wykonał je na_dwóch brzegach wieka.
Exo 37:8  Cheruba_jednego - na_brzegu z_tej_(strony), i_cheruba_jednego -na_brzegu z_tej_(strony), z_wieka wykonał cheruby na_obu brzegach_jego. ***
Exo 37:9  A_były (to)_cheruby (o)_rozpostartych skrzydłach do_góry. Okrywały **_skrzydłami_swoimi **_wieko, a_twarzami_swoimi (zwrócone)_jeden do_drugiego, ku_wieku były twarze cherubów.
Exo 37:10  I_zrobił **_stół (z)_drzewa akacjowego, dwa_łokcie długość_jego, a_łokieć szerokość_jego, a_łokieć i_pół wysokość_jego.
Exo 37:11  I_pokrył go złotem czystym, i_zrobił do_niego wieniec złoty dookoła.
Exo 37:12  I_zrobił do_niego listwę (o)_szerokości_ręki dookoła, i_zrobił wieniec_złoty do_listwy_jego dookoła.
Exo 37:13  I_odlał do_niego cztery pierścienie złote, i_umocował **_pierścienie, na czterech rogach, które przy_czterech nogach_jego.
Exo 37:14  Tuż_przy listwie były pierścienie, (jako)_osadzenia (dla)_drążków do_noszenia **_stołu.
Exo 37:15  I_zrobił **_drążki (z)_drzewa akacjowego, i_pokrył je złotem, do_noszenia **_stołu.
Exo 37:16  I_zrobił **_naczynia, które (są)_na_stół: **_misy_jego, i_**_czasze, i_** i_miski_jego i_**_dzbanki, którymi nalewa_się do_nich, (ze)_złota czystego.
Exo 37:17  I_zrobił **_świecznik (ze)_złota czystego, kutej_roboty wykonał **_świecznik, podstawa_jego, i_ramię_jego kielichy_jego, gałki_jego, i_kwiaty_jego, z_niego były.
Exo 37:18  A_sześć ramion wychodziło z_boków_jego, trzy ramiona świecznika z_boku_jego jednego, a_trzy ramiona świecznika boku_jego drugiego.
Exo 37:19  Trzy kielichy (o_kształcie)_kwiatu_migdału na_ramieniu jednym, (z)_gałką i_kwiatem, a_trzy kielichy (o_kształcie)_kwiatu_migdału na_ramieniu jednym, (z)_gałką i_kwiatem; tak na_sześciu ramionach wychodzących ze_świecznika.
Exo 37:20  A_na_świeczniku - cztery kielichy (o_kształcie)_kwiatu_migdału, (z)_gałkami_jego kwiatami_jego.
Exo 37:21  I_gałka pod dwoma ramionami, z_niego, i_gałka pod dwoma ramionami z_niego, i_gałka pod_dwoma ramionami z_niego. A_sześć ramion wychodziło z_niego.
Exo 37:22  Gałki_ich, i_ramiona_ich z_niego były, cały (był)_kutej_roboty (z)_jednej_(bryły) złota czystego.
Exo 37:23  I_zrobił **_lamp_do_niego siedem, a_szczypce_jego a_popielniczki_jego (ze)_złota czystego.
Exo 37:24  (Z)_talentu złota czystego zrobił je i_** wszystkie_naczynia_jego.
Exo 37:25  I_zrobił **_ołtarz kadzielny (z)_drzewa akacjowego, łokieć długość_jego i_łokieć szerokość_jego, czworokątny, a_łokcie_dwa wysokość_jego, z_niego były narożniki_jego.
Exo 37:26  I_pokrył go złotem czystym, **_wierzch_jego i_**_ściany_jego dookoła, i_**_narożniki_jego i_zrobił do_niego wieniec złoty dookoła.
Exo 37:27  I_dwa pierścienie złote zrobił_do_niego, poniżej *_wieńca_jego, po obu bokach_jego,- po obu stronach_jego dla_osadzenia *_drążków, do_noszenia go w_nich.
Exo 37:28  I_zrobił **_drążki (z)_drzewa akacjowego, i_pokrył je złotem.
Exo 37:29  I_zrobił **_olej (do)_namaszczania świętego, i_**_kadzidło (z)_wonności, czyste, (jak)_wyrób mieszających_wonności.
Exo 38:1  I_zrobił **_ołtarz całopalenia (z)_drzewa akacjowego - pięć łokci długość_jego, a_pięć_łokci szerokość_jego, czworokątny, a_trzy łokcie wysokość_jego.
Exo 38:2  I_zrobił narożniki_jego na czterech rogach_jego, z_niego były narożniki_jej, i_pokrył go miedzią.
Exo 38:3  I_zrobił **_wszystkie_naczynia ołtarza: **_garnki, i_**_łopatki, i_**_czasze, **_widełki i_**_węglarki; wszystkie_naczynia_jego zrobił (z)_miedzi.
Exo 38:4  I_zrobił do_ołtarza kratę, wyrób (jak)_siatka (z)_miedzi, pod obramowaniem_jego od_spodu do_połowy_jego.
Exo 38:5  I_odlał cztery pierścienie, na_czterech końcach *_siatki miedzianej, (jako)_osadzenia (dla)_drążków.
Exo 38:6  I_zrobił **_drążki (z)_drzewa akacjowego, i_pokrył je miedzią.
Exo 38:7  I_wprowadził **_drążki w_pierścienie po bokach ołtarza do_noszenia go w_nich. Pusty z_tablic zrobił go.
Exo 38:8  I_zrobił ** kadź (z)_miedzi i_** podnóże_jej (z)_miedzi, z_lusterek zbierających_się_(kobiet), które zbierały_się (u)_wejścia Namiotu Spotkania.
Exo 38:9  I_zrobił **_dziedziniec po_stronie południowej, na_prawo kotary dziedzińca (z)_bisioru kręconego (na)_sto *_łokci.
Exo 38:10  Słupów_do_nich dwadzieścia i_podstaw_do_ich dwadzieścia, (z)_miedzi, haczyki (przy)_słupach i_klamry_ich (ze)_srebra.
Exo 38:11  A_po_stronie północnej sto *_łokci, słupów_do_nich dwadzieścia, podstaw_do_nich dwadzieścia (z)_miedzi, haczyki (przy)_słupach i_klamry_ich (ze)_srebra.
Exo 38:12  A_po_stronie_zachodniej, kotary (na)_pięćdziesiąt *_łokci, słupów_do_ich dziesięć, a_podstaw_do_nich dziesięć, a_haczyków (przy)_słupach i_klamry_ich (ze)_srebra.
Exo 38:13  A_(ze)_strony przedniej ku_wschodowi, pięćdziesiąt łokci.
Exo 38:14  Kotary (na)_piętnaście łokci na_skrzydło, słupów_ich - trzy, podstaw_(do)_nich - trzy.
Exo 38:15  A_do_skrzydła drugiego, z_tej i_z_tej_(strony)*_bramy dziedzińca, kotary (na)_pięć (i)_dziesięć łokci, słupów_ich - trzy, i_podstaw_(do)_nich trzy.
Exo 38:16  Wszystkie_kotary dziedzińca dookoła_(były)(z)_bisioru kręconego.
Exo 38:17  A_podstaw do_słupów (z)_miedzi, haczyki słupów klamry_(do)_ich (ze)_srebra, a_powłoka głowic_ich (ze)_srebra, a_one powiązane_(były) srebrem wszystkie słupy dziedzińca.
Exo 38:18  A_kotara (do)_bramy dziedzińca wyrobu wzorzystego, (z)_fioletowej i_czerwonej_purpury, i_barwionego karmazynu, i_bisioru kręconego, (na)_dwadzieścia łokci - długość, a_wysokość przez_szerokość - pięć łokci odpowiednio (do)_zasłon dziedzińca.
Exo 38:19  A_słupów_(do)_niej cztery, a_podstaw_(do)_nich cztery z_miedzi, a_haczyki_ich (ze)_srebra, a_powłoka głowic_ich a_klamry_ich (ze)_srebra.
Exo 38:20  A_wszystkie_kołki do_przybytku_do_dziedzińca dookoła (z)_miedzi.
Exo 38:21  Oto obliczenia przybytku, Przybytku Świadectwa, które zostały_obliczone na_polecenie Mojżesza: służba Lewitów (kierowana)_*_ręką Itamara syna_Aarona, kapłana.
Exo 38:22  A_Becalel, syn_Uriego, syna_Chura z_pokolenia Judy, wykonał ** wszystko_co_przykazał JHWH **_Mojżeszowi.
Exo 38:23  A_z_nim Oholiab, syn_Achisamaka z_pokolenia_Dan, rytownik i_artysta i_hafciarz (na)_fioletowej i_na_czerwonej_purpurze i_farbowanym karmazynie i_na_bisiorze.
Exo 38:24  Wszystkiego_złota potrzebnego do_pracy, na_wszelkie wykonanie świątyni: i_było złota ofiary_kołysania dziewięć (i)_dwadzieścia talentów i_siedem setek i_trzydzieści szekli według_szekla świątynnego.
Exo 38:25  A_srebra od_policzonych społeczności sto talentów, i_tysiąc i_siedem setek, i_pięć i_siedemdziesiąt szekli według_szekla świątynnego.
Exo 38:26  Beka na_głowę, (czyli)_połowę szekla według_szekla świątynnego na_każdego przechodzącego wobec_spisujących od_syna_(mającego) dwadzieścia lat i_wyżej, (czyli)_na_sześćset tysięcy i_trzy tysiące i_pięć setek i_pięćdziesiąt.
Exo 38:27  I_było, sto talentów srebra na_odlewanie ** podstaw świątyni i_** podstaw zasłony: sto podstaw ze_stu talentów, (po)_talencie na_podstawę.
Exo 38:28  A_z_tysiąca i_siedmiu setek i_pięciu i_siedemdziesięciu_(szekli) zrobił haczyki do_słupów, i_pokrył głowice_ich i_połączył_klamrami je.
Exo 38:29  A_miedzi ofiary_kołysania - siedemdziesiąt talentów i_dwa_tysiące i_cztery_setki szekli.
Exo 38:30  I_zrobił z_niej **_podstawy (u)_wejścia Namiotu Spotkania i_** ołtarz (z)_miedzi, i_**_kratę (z)_miedzi, **_do_niego, i_** wszystkie_naczynia ołtarza.
Exo 38:31  I_podstawy dziedzińca dookoła, i_**_podstawy bramy dziedzińca i_** wszystkie_kołki przybytku i_**_wszystkie_kołki dziedzińca dookoła.
Exo 39:1  A_z_fioletowej i_czerwonej_purpury, i_barwionego karmazynu zrobili *_szaty_przetykane do_posługi w_świątyni, i_zrobili **_szaty święte, które_(były) dla_Aarona, tak_jak nakazał JHWH **_Mojżeszowi.
Exo 39:2  I_zrobił efod (ze)_złota, (z)_fioletowej i_czerwonej_purpury, i_barwionego karmazynu i_bisioru kręconego.
Exo 39:3  I_wykuli **_blaszki złote, i_pocięli (na)_nitki aby_wpleść w_środek fioletowej w_środek czerwonej_purpury i_w_środek farbowanego karmazynu, i_w_środek bisioru, (jak_w)_wyrobie artystycznym.
Exo 39:4  Naramienniki (które)_zrobili_do_niego łączące_się na_dwóch [końcach_jego] końcach_jego były_połączone.
Exo 39:5  A_pasek efodu_[jego], który (był)_na_nim, z_niego (był)_on,_takiego_samego_wyrobu, (ze)_złota (i_z)_fioletowej czerwonej_purpury, i_barwionego karmazynu, i_bisioru kręconego, tak_jak nakazał JHWH**_Mojżeszowi.
Exo 39:6  I_zrobili **_kamienie onyksu otoczone oprawami (ze)_złota, z_wyrytymi rytami, (jak_w)_pieczęci według_imion synów Izraela.
Exo 39:7  I_włożył je na ramionach efodu, (jako)_kamienie pamiątkowe dla_synów Izraela, tak_jak rozkazał JHWH **_Mojżeszowi.
Exo 39:8  I_zrobił **_pektorał, wyrób artystyczny, według_wyrobu efodu (ze)_złota, (i_z)_fioletowej i_czerwonej_purpury i_barwionego karmazynu, i_bisioru kręconego.
Exo 39:9  Czworokątny był, podwójny zrobili **_pektorał, (na)_ręki_szerokość długość_jego i_(na)_ręki_szerokość - szerokość_jego, podwójny.
Exo 39:10  I_zapełnili_na_nim cztery rzędy kamieni. Rzędem rubin, topaz i_szmaragd (to)_rząd [jeden]_pierwszy.
Exo 39:11  A_rząd drugi: karbunkuł, szafir i_beryl.
Exo 39:12  A_rząd trzeci: opal, agat i_ametyst.
Exo 39:13  A_rząd czwarty: chryzolit, onyks i_jaspis. Obwiedzione oprawami ze_złota w_osadzeniach_swoim.
Exo 39:14  A_kamieni według_imion synów_Izraela_(było)_ich [dwa]_dwanaście [dziesięć] według_imion_ich wyryto (na)_pieczęci, każdy według_imienia_jego, dla_[dwa]_dwunastu [dziesięć] pokoleń
Exo 39:15  I_zrobili na_pektorale łańcuszki splecione wyrób (jak)_sznurki, (ze)_złota czystego.
Exo 39:16  I_zrobili dwie oprawy złote i_dwa pierścienie złote i_umieścili **_oba pierścienie na_obu końcach pektorału.
Exo 39:17  I_włożyli dwa sznurki (ze)_złota do_dwóch pierścieni na_końcu pektorału.
Exo 39:18  A_** oba końce dwóch sznurków włożyli do_obu opraw, a_te_osadzili na_ramionach efodu do_przedniej strony_jego.
Exo 39:19  I_zrobili dwa pierścienie złote, i_przymocowali do_dwóch końców pektorału na_skraju_jego, które_(są) od_strony efodu wewnątrz.
Exo 39:20  I_zrobili dwa pierścienie złote i_umocowali_je na_dwóch ramionach efodu od_spodu od_strony przedniej_jego, tuż_przy spojeniu_jego, nad pasem efodu.
Exo 39:21  I_przywiązali **_pektorał *_pierścienie_jego do_pierścieni efodu, *_sznurem fioletowym, aby_był na_pasie efodu, aby_nie_przesuwał_się pektorał z_nad efodu, tak_jak rozkazał JHWH **_Mojżeszowi.
Exo 39:22  I_zrobił **_płaszcz (pod)_efod wyrób tkany, cały (z)_fioletu.
Exo 39:23  A_otwór_płaszcza, w_środku_jego (jak)_otwór skórzanego_pancerza. Obszywka przy_otworze dookoła (aby)_nie rozdzielał_się.
Exo 39:24  I_zrobili na_brzegach płaszcza jabłka_granatu (z)_fioletowej i_czerwonej_purpury, i_barwionego karmazynu kręconego.
Exo 39:25  I_zrobili dzwonki (ze)_złota czystego, i_umocowali dzwonki pośrodku jabłka_granatu na_brzegach płaszcza dookoła, pośrodku jabłek_granatu.
Exo 39:26  Dzwonek i_jabłko_granatu, dzwonek i_jabłko_granatu na_brzegu płaszcza dookoła, do_posługi jak_tak nakazał JHWH **_Mojżeszowi.
Exo 39:27  I_zrobili **_szaty (z)_bisioru, wyrób tkany, dla_Aarona i_dla_synów_jego.
Exo 39:28  I_** zawój (z)_bisioru, i_**_turban - nakrycie_głowy (z)_bisioru i_**_spodnie lniane (z)_bisioru kręconego.
Exo 39:29  I_**_pas (z)_bisioru kręconego, (i)_fioletowej i_czerwonej_purpury, i_barwionego karmazynu, wyrobu wzorzystego, tak_jak rozkazał JHWH **_Mojżeszowi.
Exo 39:30  I_zrobili **_diadem koronę_świętą (ze)_złota czystego, i_napisali na_niej pismem, rytami pieczęci: Poświęcony dla_JHWH.
Exo 39:31  I_umocowali na_niej sznurek fioletowy, aby_przywiązać do_zawoju, z_wierzchu, tak_jak nakazał JHWH **_Mojżeszowi.
Exo 39:32  I_ukończono całą_pracę (przy)_przybytku, Namiocie Spotkania, i_zrobili synowie Izraela *_wszystko, jak nakazał JHWH **_Mojżeszowi, tak zrobili.
Exo 39:33  I_przynieśli **_przybytek do_Mojżesza, **_namiot i_**_wszystkie_przybory_jego: zapinki_jego, bale_jego, *** poprzeczki_jego, i_słupy_jego i_podstawy_jego.
Exo 39:34  I_**_nakrycie (ze)_skór baranich, barwionych_czerwono, i_**_nakrycie (ze)_skór borsuczych i_** zasłonę okrywającą.
Exo 39:35  **_Arkę Świadectwa, i_**_drążki_jej i_** wieko.
Exo 39:36  **_Stół (z)_wszystkimi_naczyniami_jego i_** chleb pokładny.
Exo 39:37  **_Świecznik (z)_czystego_(złota)**_lampy_jego, lampy (w)_rzędzie i_**_wszystkie_przybory_jego i_** olej (do)_oświetlania.
Exo 39:38  I_** ołtarz złoty i_** olej namaszczania, i_** kadzidło wonne, i_** kotarę (do)_wejścia namiotu.
Exo 39:39  ** Ołtarz miedziany i_**_kratę miedzianą **_do_niego, i_drążki_jego i_**_wszystkie_przybory_jego **_kadź i_**_podnóże_jego.
Exo 39:40  ** Zasłony dziedzińca, **_słupy_jego i_**_podstawy_jego, i_**_kotarę do_bramy dziedzińca, **_sznury_jego, i_kołki_jego, i_** wszystkie_przybory do_służby (w)_przybytku, do_Namiotu Spotkania.
Exo 39:41  **_Szaty służące do_posługi (w)_świątyni, **_szaty święte dla_Aarona, kapłana, i_**_szaty synów_jego do_(służby)_kapłańskiej.
Exo 39:42  *_Wszystko co_nakazał JHWH **_Mojżeszowi, tak zrobili synowie Izraela ** całą_pracę.
Exo 39:43  I_zobaczył Mojżesz **_całe_dzieło, a_oto wykonali je tak_jak nakazał JHWH, tak wykonali, i_błogosławił im Mojżesz.
Exo 40:1  I_przemówił JHWH do_Mojżesza, mówiąc:
Exo 40:2  W_dzień_miesiąca pierwszego, *_pierwszego *_tego_miesiąca postawisz**_przybytek, Namiot Spotkania.
Exo 40:3  I_postawisz tam ** Arkę Świadectwa, i_zakryjesz **_arkę **_zasłoną.
Exo 40:4  I_przyniesiesz **_stół, i_ustawisz to_co_należy_do_niego, i_przyniesiesz **_świecznik, i_zapalisz **_lampy_jego.
Exo 40:5  I_postawisz **_ołtarz złoty do_kadzenia przed Arką Świadectwa, i_zawiesisz **_kotarę (u)_wejścia do_przybytku.
Exo 40:6  I_postawisz ** ołtarz całopalenia przed wejściem (do)_Przybytku Spotkania.
Exo 40:7  I_umieścisz kadź między_Namiotem Spotkania, i_między ołtarzem, i_nalejesz tam wody.
Exo 40:8  I_ustawisz **_dziedziniec dookoła i_zawiesisz **_kotarę (u)_bramy dziedzińca.
Exo 40:9  I_weźmiesz **_olej namaszczania, i_namaścisz **_przybytek, i_**_wszystko_co_w_nim, i_poświęcisz go, i_**_wszystkie_przybory_jego, i_będzie świętym.
Exo 40:10  I_namaścisz **_ołtarz całopalenia i_**_wszystkie_przybory_jego, i_poświęcisz **_ołtarz i_będzie ołtarz Świętością nad_Świętościami.
Exo 40:11  I_namaścisz **_kadź i_**_podnóże_jej, i_poświęcisz ją.
Exo 40:12  I_przyprowadzisz **_Aarona i_**_synów_jego do_wejścia Namiotu Spotkania, i_obmyjesz ich w_wodzie.
Exo 40:13  I_ubierzesz **_Aarona (w)_** szaty święte namaścisz go, i_poświęcisz go i_(będzie)_kapłanem dla_Mnie.
Exo 40:14  I_synów_jego przyprowadzisz i_ubierzesz ich (w)_tuniki.
Exo 40:15  I_namaścisz ich, tak_jak namaściłeś **_ojca_ich, i_będą_kapłanami dla_Mnie, i_będzie_(tak), aby_było dla_nich namaszczenie_ich na_kapłaństwo wieczne przez_pokoleniach_ich.
Exo 40:16  I_uczynił Mojżesz, *_wszystko, co nakazał JHWH mu, tak uczynił.
Exo 40:17  I_stało_się w_miesiącu pierwszym, *_roku drugiego, *_pierwszego *_(dnia)_miesiąca postawiono przybytek.
Exo 40:18  I_postawił Mojżesz **_przybytek, i_umieścił **_podstawy_jego, i_ustawił **_bale_jego, i_założył **_poprzeczki_jego, i_postawił **_słupy_jego.
Exo 40:19  I_rozpostarł **_namiot nad_przybytkiem, i_położył **_pokrycie namiotu na_nim z_góry, tak_jak nakazał JHWH **_Mojżesza.
Exo 40:20  I_wziął i_złożył **_Świadectwo do_arki, i_włożył **_drążki przy_arce, i_umieścił **_wieko na_arce z_wierzchu.
Exo 40:21  I_wniósł **_arkę do_przybytku, i_zawiesił ** zasłonę zasłaniającą, i_zasłonił nad Arką Świadectwo, tak_jak nakazał JHWH **_Mojżeszowi.
Exo 40:22  I_umieścił **_stół w_Namiocie Spotkania, po stronie przybytku północnej, na_zewnątrz zasłony.
Exo 40:23  I_rozłożył na_nim rzędy chleba przed_obliczem JHWH, tak_jak nakazał JHWH **_Mojżeszowi.
Exo 40:24  I_ustawił **_świecznik w_Namiocie Spotkania naprzeciw stołu, po stronie przybytku południowej.
Exo 40:25  I_zapalił lampy przed_obliczem JHWH, tak_jak nakazał JHWH **_Mojżeszowi.
Exo 40:26  I_ustawił **_ołtarz złoty w_Namiocie Spotkania przed zasłoną.
Exo 40:27  I_pokadził na_nim kadzidłem wonnym, tak_jak nakazał JHWH **_Mojżeszowi.
Exo 40:28  I_umieścił **_kotarę przy_wejściu do_przybytku.
Exo 40:29  I_** ołtarz całopalenia ustawił przy_wejściu przybytku Namiotu_Spotkania, i_złożył na_nim **_całopalenie i_**_ofiarę_pokarmową, tak_jak nakazał JHWH **_Mojżeszowi.
Exo 40:30  I_ustawił **_kadź między_Namiotem Spotkania, i_między ołtarzem, i_nalał tam wody do_obmycia.
Exo 40:31  I_obmywali z_niej Mojżesz i_Aaron i_synowie_jego, **_ręce_swoje i_**_nogi_swoje.
Exo 40:32  Gdy_wchodzili do_Namiotu Spotkania, i_gdy_przystępowali do_ołtarza, obmywali_się, tak_jak nakazał JHWH **_Mojżeszowi.
